casual,registered
3,13
8,32
5,27
3,10
0,1
0,1
2,0
1,2
1,7
8,6
12,24
26,30
29,55
47,47
35,71
40,70
41,52
15,52
9,26
6,31
11,25
3,31
11,17
15,24
4,13
1,16
1,8
2,4
2,1
0,2
0,1
0,8
1,19
7,46
16,54
20,73
11,64
4,55
19,55
9,67
7,58
10,43
1,29
5,17
11,20
0,9
0,8
0,5
0,2
0,1
0,3
0,30
1,63
1,153
7,81
11,33
10,41
13,48
8,53
11,66
14,58
9,67
11,146
9,148
8,102
3,49
3,49
0,20
1,11
0,5
0,2
0,1
0,2
0,4
0,36
2,92
2,177
2,98
5,37
7,50
12,66
18,79
9,54
17,48
15,68
10,202
3,179
2,110
1,53
0,48
1,34
2,9
0,6
0,6
0,2
0,2
0,3
0,33
1,87
3,192
6,109
4,53
12,34
5,74
6,65
10,52
7,55
4,85
4,186
3,166
5,127
7,82
3,40
1,41
1,18
0,11
0,4
0,2
0,1
0,4
0,36
0,95
3,216
6,116
3,42
2,57
6,78
12,55
11,59
8,54
12,74
9,163
5,158
3,109
3,66
0,48
1,51
4,19
4,13
2,5
0,1
0,1
0,5
8,26
8,76
20,190
9,125
16,47
19,48
9,50
9,64
7,43
9,63
5,82
9,178
7,116
3,92
1,50
0,39
2,34
1,14
1,24
1,15
3,13
0,7
0,1
0,5
0,2
1,8
0,15
0,20
5,56
2,60
8,90
7,95
12,83
5,69
8,68
5,64
3,52
4,26
0,28
2,35
1,33
0,22
1,24
0,12
0,11
0,4
0,1
0,1
0,1
1,5
0,10
0,19
0,49
2,47
4,79
6,69
8,64
5,77
13,79
3,59
4,44
1,40
0,38
1,19
5,10
0,6
2,3
1,0
0,3
0,1
1,2
0,3
0,31
2,75
4,184
2,92
0,31
2,28
5,47
4,50
0,47
2,43
4,70
4,174
1,154
3,92
1,73
1,37
2,22
0,18
2,10
0,3
0,3
0,6
0,27
2,97
3,214
3,127
3,51
4,31
2,55
6,46
3,60
2,45
4,72
6,130
1,94
0,51
0,32
0,20
1,28
1,18
0,7
0,6
0,1
0,5
0,16
0,54
3,125
3,78
0,39
3,32
3,52
0,49
0,44
1,48
5,63
0,139
2,135
1,82
2,54
0,57
1,32
1,19
1,6
0,2
0,2
0,3
0,4
0,3
0,28
0,72
5,197
2,137
2,36
4,33
3,49
2,81
3,39
5,55
2,76
4,158
3,141
1,98
0,64
0,40
0,30
1,14
0,14
0,5
0,1
0,1
0,8
0,17
0,70
2,156
0,117
4,40
6,47
2,59
4,73
5,59
9,59
3,87
4,155
5,134
3,89
0,68
4,48
2,34
1,26
3,25
2,18
0,12
1,7
0,5
0,1
1,2
1,9
1,22
2,31
2,57
18,54
15,74
21,80
26,92
21,108
33,95
29,54
15,69
14,60
6,35
6,51
0,26
5,39
6,33
4,19
3,13
9,6
0,1
1,1
0,1
0,3
0,18
3,29
8,71
23,70
29,75
23,95
22,69
35,78
22,77
23,82
11,56
14,47
7,50
6,22
2,19
0,18
1,16
1,15
0,8
0,2
1,2
0,1
0,5
4,9
3,30
8,39
7,50
9,55
10,70
13,80
12,74
21,72
6,76
4,67
7,85
2,58
4,29
3,24
0,13
1,3
0,3
0,22
2,26
3,32
0,61
1,124
1,132
1,98
0,83
0,41
0,33
1,19
0,3
1,6
0,3
1,1
0,7
0,32
1,89
1,196
2,107
1,46
5,47
5,65
11,67
7,68
4,78
10,94
7,190
5,156
4,108
2,74
4,55
6,53
1,27
5,8
2,3
0,2
0,1
0,1
0,6
0,35
1,100
2,247
3,140
1,56
5,63
7,77
12,86
6,75
8,62
8,83
8,207
1,184
6,146
2,124
3,54
0,56
3,28
1,20
0,6
0,2
0,1
0,1
1,4
0,27
2,66
7,210
7,159
6,57
6,53
11,67
8,65
6,56
4,61
0,97
10,151
1,119
3,93
1,52
0,41
1,33
0,27
0,13
3,9
0,11
1,6
0,3
0,2
0,8
1,26
3,37
3,50
4,59
10,60
12,72
11,64
10,93
11,72
8,59
0,54
6,53
1,44
0,39
7,23
2,31
2,20
1,12
3,15
1,4
0,3
0,1
1,1
2,17
3,25
7,51
22,77
24,92
12,75
17,93
13,64
9,56
5,50
5,44
5,45
4,31
5,20
5,23
4,17
0,7
0,1
0,1
0,1
0,5
0,15
5,79
6,171
4,98
6,34
3,43
11,52
6,54
2,43
7,50
4,66
6,178
8,145
5,101
1,80
6,53
3,32
3,21
3,6
0,5
0,2
0,1
0,9
1,35
5,103
5,233
10,134
6,49
6,55
21,85
21,72
11,57
21,63
14,102
14,208
7,218
13,133
16,103
5,40
4,49
3,37
3,14
0,5
3,7
0,1
0,8
1,29
3,69
3,55
2,26
6,35
7,41
4,43
0,36
1,42
1,35
0,26
1,23
2,82
3,101
3,76
4,55
2,36
0,27
0,16
0,9
1,2
0,2
1,0
0,4
0,16
2,58
2,155
6,95
0,49
0,30
1,28
0,31
2,36
1,40
10,70
2,147
2,107
5,84
1,61
1,57
0,26
1,22
2,26
0,20
0,15
3,5
1,2
0,2
1,4
3,31
0,34
4,51
4,60
12,66
9,56
10,89
22,98
19,88
9,82
9,59
6,52
1,42
1,35
4,28
3,30
0,33
7,22
1,10
1,7
0,1
0,3
0,3
1,11
4,34
7,57
9,50
10,87
13,71
18,104
14,95
19,104
6,71
8,57
9,46
3,30
3,25
2,19
5,16
1,6
2,5
0,1
0,2
0,2
0,8
0,37
1,71
3,182
0,112
1,68
2,46
6,62
2,52
1,85
3,41
3,83
6,155
3,153
3,108
0,78
3,53
0,34
2,15
2,6
0,3
0,2
0,2
0,3
0,22
0,52
3,132
2,114
0,47
2,49
2,53
3,49
5,49
7,45
3,61
4,172
3,165
3,105
5,69
0,64
2,34
1,15
0,2
0,3
4,0
0,1
0,1
0,3
1,17
1,48
1,154
4,119
2,59
5,47
3,61
1,74
2,61
10,66
8,95
7,183
7,175
3,88
4,71
1,62
5,35
3,29
1,11
0,5
0,2
0,1
0,2
0,39
1,86
4,184
6,127
2,50
9,55
2,67
4,47
4,43
4,56
5,73
5,170
2,145
4,92
1,108
1,53
2,39
4,34
3,10
0,7
0,1
0,1
0,7
2,26
0,87
3,217
3,124
5,46
3,61
8,78
9,73
15,76
9,81
8,91
10,195
3,152
1,102
2,69
2,41
1,45
1,30
3,36
1,17
5,12
1,10
0,8
0,9
0,4
0,4
0,10
3,17
3,31
1,46
10,42
10,62
5,50
11,49
8,63
14,64
2,81
6,78
5,64
3,53
2,43
7,52
2,37
4,40
0,20
3,10
0,2
0,1
0,1
0,8
2,21
7,38
15,74
28,89
48,126
47,135
47,114
52,130
42,115
24,97
13,65
1,20
5,21
5,22
5,57
4,26
1,14
1,4
0,3
0,1
1,1
1,9
1,29
6,89
7,223
3,115
6,49
11,36
7,59
10,54
8,52
4,46
16,98
9,207
5,170
5,123
6,82
3,75
3,34
6,19
4,6
0,4
1,1
0,1
0,3
0,2
0,39
3,97
7,236
7,128
4,44
1,49
2,63
2,48
3,61
6,45
4,79
4,172
1,151
1,100
3,53
8,46
0,29
3,9
0,17
0,7
1,2
0,2
0,7
0,43
4,95
1,198
4,119
8,51
1,40
4,57
2,67
2,56
3,61
7,72
9,157
2,168
1,87
0,84
0,83
4,42
0,37
0,16
0,7
0,3
0,1
0,6
0,26
0,99
5,173
1,121
1,34
1,44
4,65
3,59
6,42
0,50
4,76
6,159
3,157
2,110
4,93
2,70
4,47
1,33
2,12
1,6
0,3
0,4
1,23
1,73
4,212
8,132
5,39
12,52
7,64
21,89
17,67
12,62
14,111
18,193
9,165
7,94
2,61
1,46
2,41
5,48
3,27
2,22
2,13
3,7
0,4
0,1
1,1
2,9
2,28
5,38
13,71
30,84
27,93
32,103
30,90
47,127
42,103
24,113
4,60
2,39
1,39
9,42
6,39
1,31
5,34
1,23
1,19
4,8
0,2
2,3
0,3
1,11
12,35
19,86
26,86
58,94
62,92
51,110
40,122
28,106
30,95
17,78
11,50
15,32
6,45
5,31
3,27
3,8
1,6
0,2
1,1
0,2
0,3
1,25
2,96
7,249
8,122
9,46
10,43
27,99
27,93
14,76
19,71
16,102
25,218
11,194
12,86
5,65
8,35
1,44
1,19
7,12
0,5
1,2
0,1
0,4
0,30
2,103
10,213
2,108
5,47
11,46
6,65
14,68
10,69
11,74
21,77
15,191
14,198
3,142
3,98
5,61
0,41
0,20
0,15
0,9
0,1
0,1
0,5
1,32
5,103
6,224
2,122
14,55
7,59
14,72
13,80
17,65
35,82
26,96
11,244
20,202
18,143
10,108
5,87
12,61
2,31
1,16
0,6
2,4
3,1
3,1
1,11
3,44
7,119
18,267
16,163
18,70
19,71
15,86
15,108
26,55
15,91
29,117
18,256
11,211
14,161
8,131
5,119
8,68
4,40
12,20
1,7
2,5
2,6
0,1
1,6
2,48
8,108
26,246
15,154
17,78
31,82
59,126
45,131
73,118
55,117
68,164
52,275
29,195
16,146
19,105
11,61
19,88
16,61
6,23
10,21
3,14
0,7
0,3
0,3
3,3
6,16
9,36
18,37
34,72
47,76
38,81
52,103
102,94
84,87
39,81
36,91
21,67
5,54
9,38
4,29
2,42
4,25
3,14
5,11
0,17
9,9
0,1
1,1
0,2
2,22
7,48
34,70
72,89
62,120
76,122
108,104
66,102
59,88
60,86
30,71
3,39
12,30
17,39
4,43
9,45
7,30
2,11
1,3
2,3
1,0
1,2
2,6
3,16
7,56
11,46
29,52
20,70
26,67
28,75
15,101
11,76
8,48
18,62
2,64
0,49
0,29
1,33
0,11
0,2
0,7
0,40
7,107
5,101
0,44
7,43
7,48
3,52
9,49
2,67
7,79
8,188
6,161
4,114
3,102
2,80
1,76
3,18
0,6
0,4
0,1
0,2
0,8
0,36
2,94
8,227
9,130
4,47
16,53
11,56
9,78
17,61
18,54
15,79
15,207
3,206
6,135
2,107
2,89
1,60
1,38
0,11
0,7
0,4
0,2
1,3
0,58
0,104
8,244
4,133
8,49
8,71
10,85
16,72
2,67
5,58
4,67
9,168
5,132
3,112
2,87
7,76
5,50
3,47
1,8
1,9
0,3
1,1
1,5
0,11
1,34
3,70
3,111
7,42
9,50
20,95
6,77
14,71
5,50
11,91
8,181
7,150
4,86
2,60
7,56
7,43
2,37
3,25
2,25
3,9
1,7
1,1
1,9
1,6
1,21
2,55
9,65
14,71
26,100
45,115
38,136
57,154
40,125
41,130
53,130
26,111
30,64
8,60
9,59
8,38
5,29
8,26
7,30
2,20
3,8
0,2
2,1
6,8
9,26
17,42
24,79
33,92
61,132
90,169
105,177
98,163
98,170
66,121
24,103
16,86
9,72
8,61
2,67
6,53
5,25
1,7
0,1
1,4
1,27
2,90
13,242
15,127
13,79
13,74
0,36
1,31
1,24
0,35
2,40
2,77
4,127
1,79
0,45
2,78
4,72
0,45
0,7
0,3
0,4
0,2
0,1
1,1
0,46
2,105
10,204
8,116
13,55
8,48
6,80
13,65
18,61
7,57
10,92
12,230
10,214
4,115
2,86
8,55
3,44
2,23
3,5
0,4
0,2
3,1
1,0
0,5
1,39
2,108
13,243
7,141
11,65
8,65
20,62
35,90
21,75
19,91
27,112
30,238
8,193
6,144
9,86
3,68
4,44
0,22
3,10
0,1
1,2
0,1
0,1
1,7
1,34
1,110
4,216
10,135
7,49
10,40
7,65
13,67
18,60
6,62
6,65
17,185
6,161
5,101
1,69
3,48
3,50
0,23
0,12
0,4
0,2
0,1
1,0
0,7
1,28
0,83
6,222
12,138
10,56
16,73
10,87
13,74
30,65
31,75
17,101
22,206
15,172
5,102
9,78
6,64
4,40
6,40
4,15
5,20
5,15
0,2
0,1
0,3
1,3
5,10
11,34
15,48
34,69
43,116
46,121
60,130
80,118
83,122
74,130
60,104
37,115
27,62
12,58
12,60
16,47
10,34
11,41
12,27
5,27
2,9
0,3
1,1
0,5
1,8
4,18
4,27
18,44
10,69
22,83
12,27
3,4
3,8
2,23
0,23
0,11
3,8
1,6
0,10
0,9
0,4
0,2
0,1
1,0
0,1
3,31
3,88
11,200
5,129
15,43
19,41
28,68
16,54
21,56
32,64
26,96
27,206
19,214
11,134
5,87
1,53
1,34
0,22
1,9
0,4
1,0
5,2
0,2
2,8
3,42
9,119
10,247
11,140
25,46
26,52
29,70
25,73
16,56
35,77
26,82
39,209
21,214
9,141
2,74
7,68
11,44
3,38
0,9
0,4
1,1
1,2
0,2
1,7
5,44
18,123
11,238
5,136
8,49
15,44
14,84
17,82
10,61
15,64
10,102
18,176
12,176
11,123
4,87
10,52
4,17
1,17
3,0
0,2
0,1
1,2
0,12
1,36
1,43
1,23
0,17
6,5
4,30
1,11
0,12
3,11
1,20
2,109
2,80
5,51
9,29
1,27
4,30
1,26
0,6
0,8
2,3
0,2
1,6
1,31
10,104
15,244
13,143
18,60
14,67
15,96
15,92
25,64
21,64
18,95
23,200
19,134
7,111
6,70
10,43
11,53
3,34
4,30
3,15
0,14
1,6
0,1
0,2
2,2
4,19
9,44
25,76
21,78
36,83
51,107
62,95
70,96
81,101
100,144
99,114
54,91
26,86
22,64
36,46
7,56
11,38
3,35
10,23
6,17
4,9
0,3
0,2
2,8
11,23
8,36
36,86
88,93
74,120
97,124
144,106
149,155
124,132
98,143
