timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,casual,registered
4/01/2015 0:00,182.00,3,2,93,6,3,0,1,3,3,13
4/01/2015 1:00,138.00,3,2.5,93,5,1,0,1,3,8,32
4/01/2015 2:00,134.00,2.5,2.5,96.5,0,1,0,1,3,5,27
4/01/2015 3:00,72.00,2,2,100,0,1,0,1,3,3,10
4/01/2015 4:00,47.00,2,0,93,6.5,1,0,1,3,5,1
4/01/2015 5:00,46.00,2,2,93,4,1,0,1,3,8,1
4/01/2015 6:00,51.00,1,-1,100,7,4,0,1,3,2,0
4/01/2015 7:00,75.00,1,-1,100,7,4,0,1,3,1,2
4/01/2015 8:00,131.00,1.5,-1,96.5,8,4,0,1,3,1,7
4/01/2015 9:00,301.00,2,-0.5,100,9,3,0,1,3,8,6
4/01/2015 10:00,528.00,3,-0.5,93,12,3,0,1,3,12,24
4/01/2015 11:00,727.00,2,-1.5,100,12,3,0,1,3,26,30
4/01/2015 12:00,862.00,2,-1.5,96.5,13,4,0,1,3,29,55
4/01/2015 13:00,916.00,3,-0.5,87,15,3,0,1,3,47,47
4/01/2015 14:00,1039.00,2.5,0,90,8,3,0,1,3,35,71
4/01/2015 15:00,869.00,2,-1.5,93,11,3,0,1,3,40,70
4/01/2015 16:00,737.00,3,0,93,12,3,0,1,3,41,52
4/01/2015 17:00,594.00,3,0,93,11,3,0,1,3,15,52
4/01/2015 18:00,522.00,3,1.5,93,6.5,3,0,1,3,9,26
4/01/2015 19:00,379.00,3,1,93,0,3,0,1,3,6,31
4/01/2015 20:00,328.00,3,3,93,0,3,0,1,3,11,25
4/01/2015 21:00,221.00,3,2.5,93,0,4,0,1,3,3,31
4/01/2015 22:00,178.00,3,2,93,0,4,0,1,3,11,17
4/01/2015 23:00,157.00,4,3.5,87,0,4,0,1,3,15,24
5/01/2015 0:00,83.00,4,3,93,0,4,0,0,3,4,13
5/01/2015 1:00,67.00,4,3.5,93,0,4,0,0,3,1,16
5/01/2015 2:00,32.00,5,4,87,0,4,0,0,3,1,8
5/01/2015 3:00,22.00,6,4.5,84,7.5,4,0,0,3,2,4
5/01/2015 4:00,38.00,6.5,5,84,0,4,0,0,3,2,1
5/01/2015 5:00,81.00,6,5.5,87,0,4,0,0,3,10,2
5/01/2015 6:00,444.00,7,6.5,81,5,3,0,0,3,15,1
5/01/2015 7:00,1597.00,7,6,81,6.5,3,0,0,3,3,8
5/01/2015 8:00,3161.00,8,7.5,79,0,3,0,0,3,1,19
5/01/2015 9:00,1342.00,8,7,82,6,3,0,0,3,7,46
5/01/2015 10:00,568.00,9,8,84.5,6.5,3,0,0,3,16,54
5/01/2015 11:00,584.00,9,7.5,90.5,0,3,0,0,3,20,73
5/01/2015 12:00,762.00,10,8,85,11,3,0,0,3,11,64
5/01/2015 13:00,873.00,10,8.5,82,10,3,0,0,3,4,55
5/01/2015 14:00,672.00,10,9,82,9,3,0,0,3,19,55
5/01/2015 15:00,807.00,10,8.5,79,0,3,0,0,3,9,67
5/01/2015 16:00,1192.00,10,8.5,73.5,0,3,0,0,3,7,58
5/01/2015 17:00,2761.00,9.5,7.5,73.5,0,3,0,0,3,10,43
5/01/2015 18:00,2389.00,9.5,7.5,69,0,3,0,0,3,1,29
5/01/2015 19:00,1274.00,9,6.5,71,0,3,0,0,3,5,17
5/01/2015 20:00,696.00,9,7,71,14,3,0,0,3,11,20
5/01/2015 21:00,411.00,9,7,71,11,3,0,0,3,8,9
5/01/2015 22:00,324.00,9,7.5,71,10,4,0,0,3,9,8
5/01/2015 23:00,192.00,8.5,7.5,73.5,8,4,0,0,3,10,5
6/01/2015 0:00,91.00,8,6.5,76,8,4,0,0,3,9,2
6/01/2015 1:00,73.00,8,6.5,76,8,4,0,0,3,10,1
6/01/2015 2:00,33.00,8,6,76,11,4,0,0,3,6,3
6/01/2015 3:00,19.00,8,5.5,76,14,4,0,0,3,3,30
6/01/2015 4:00,40.00,8.5,6.5,73.5,11,4,0,0,3,1,63
6/01/2015 5:00,74.00,8,5.5,82,14,4,0,0,3,1,153
6/01/2015 6:00,530.00,8,5,84.5,15,3,0,0,3,7,81
6/01/2015 7:00,1715.00,9,7,82,13,3,0,0,3,11,33
6/01/2015 8:00,3534.00,9,7,82,12,7,0,0,3,10,41
6/01/2015 9:00,1573.00,9,6.5,87,16,7,0,0,3,13,48
6/01/2015 10:00,635.00,10,7.5,88,19.5,3,0,0,3,8,53
6/01/2015 11:00,550.00,10,8,88,18,3,0,0,3,11,66
6/01/2015 12:00,395.00,11,11,85,19,7,0,0,3,14,58
6/01/2015 13:00,426.00,9.5,6,84.5,27.5,3,0,0,3,9,67
6/01/2015 14:00,579.00,9,6,71,26,3,0,0,3,11,146
6/01/2015 15:00,718.00,8,4.5,71,23,2,0,0,3,9,148
6/01/2015 16:00,1184.00,8,5,68.5,19.5,2,0,0,3,8,102
6/01/2015 17:00,2662.00,7.5,4,71,22,1,0,0,3,3,49
6/01/2015 18:00,2610.00,7,4,71,17.5,1,0,0,3,3,49
6/01/2015 19:00,1402.00,6,3,76,15,1,0,0,3,6,20
6/01/2015 20:00,720.00,5.5,2.5,78.5,15,1,0,0,3,1,11
6/01/2015 21:00,494.00,5,2,81,15,1,0,0,3,7,5
6/01/2015 22:00,344.00,4.5,1.5,81,13,1,0,0,3,0,2
6/01/2015 23:00,212.00,4,1,84,12,1,0,0,3,8,1
7/01/2015 0:00,102.00,4,1,81,12,1,0,0,3,10,2
7/01/2015 1:00,60.00,4,1,81,11,1,0,0,3,13,4
7/01/2015 2:00,33.00,4,1.5,81,10,1,0,0,3,15,36
7/01/2015 3:00,26.00,3.5,1,84,9,2,0,0,3,2,92
7/01/2015 4:00,33.00,4,1.5,81,10,2,0,0,3,2,177
7/01/2015 5:00,80.00,4,2,87,9,1,0,0,3,2,98
7/01/2015 6:00,526.00,5,2.5,81,10,1,0,0,3,5,37
7/01/2015 7:00,1757.00,5.5,2.5,81,13,1,0,0,3,7,50
7/01/2015 8:00,3618.00,6.5,3.5,81,15,2,0,0,3,12,66
7/01/2015 9:00,1714.00,8,5,76,19,3,0,0,3,18,79
7/01/2015 10:00,763.00,8,5,82,19.5,2,0,0,3,9,54
7/01/2015 11:00,690.00,9,6,76,21,2,0,0,3,17,48
7/01/2015 12:00,913.00,9,5.5,76,27,2,0,0,3,15,68
7/01/2015 13:00,982.00,9.5,6,71.5,28,2,0,0,3,10,202
7/01/2015 14:00,783.00,10,6.5,62,28.5,2,0,0,3,3,179
7/01/2015 15:00,794.00,9,6,68.5,25,2,0,0,3,2,110
7/01/2015 16:00,1171.00,9,6,76,25,3,0,0,3,1,53
7/01/2015 17:00,2647.00,9.5,6.5,71.5,24,3,0,0,3,17,48
7/01/2015 18:00,2579.00,10,7,71,30,3,0,0,3,1,34
7/01/2015 20:00,657.00,10,6.5,79,30.5,3,0,0,3,2,9
7/01/2015 21:00,516.00,10,7,82,27,7,0,0,3,18,6
7/01/2015 22:00,414.00,10,7,82,27,7,0,0,3,38,6
7/01/2015 23:00,206.00,10,7,85,24,7,0,0,3,4,2
8/01/2015 0:00,123.00,11,11,82,26,4,0,0,3,0,2
8/01/2015 1:00,56.00,11.5,11.5,85,24,3,0,0,3,3,3
8/01/2015 2:00,51.00,12,12,82,25,3,0,0,3,2,33
8/01/2015 3:00,33.00,12,12,85,22,3,0,0,3,1,87
8/01/2015 4:00,32.00,12,12,88,20.5,7,0,0,3,3,192
8/01/2015 5:00,87.00,12,12,80,20.5,7,0,0,3,6,109
8/01/2015 6:00,511.00,11.5,11.5,74.5,17,3,0,0,3,4,53
8/01/2015 7:00,982.00,10.5,9.5,82.5,17,7,0,0,3,12,34
8/01/2015 8:00,1228.00,9.5,7.5,87.5,14,7,0,0,3,5,74
8/01/2015 9:00,573.00,9,7,87,13,7,0,0,3,6,65
8/01/2015 10:00,185.00,9,7,87,14,7,0,0,3,10,52
8/01/2015 11:00,193.00,9,6,82,20.5,7,0,0,3,7,55
8/01/2015 12:00,522.00,9,6.5,84.5,17,2,0,0,3,4,85
8/01/2015 13:00,672.00,9,5.5,79,27,2,0,0,3,4,186
8/01/2015 14:00,761.00,10,7,71,22,2,0,0,3,3,166
8/01/2015 15:00,781.00,9,6,71,22,2,0,0,3,5,127
8/01/2015 16:00,1212.00,9,6,71,19.5,2,0,0,3,7,82
8/01/2015 17:00,2351.00,9,6,76,22,2,0,0,3,3,40
8/01/2015 18:00,2110.00,8.5,5.5,73.5,22.5,1,0,0,3,1,41
8/01/2015 19:00,1239.00,8,5,73.5,20.5,1,0,0,3,1,18
8/01/2015 20:00,752.00,8,5,76,17,1,0,0,3,5,11
8/01/2015 21:00,457.00,8,4.5,76,20.5,1,0,0,3,6,4
8/01/2015 22:00,423.00,8.5,5.5,73.5,21,1,0,0,3,7,2
8/01/2015 23:00,267.00,9,5.5,76,27,2,0,0,3,8,1
9/01/2015 0:00,147.00,10,7,71,28,2,0,0,3,0,4
9/01/2015 1:00,60.00,10,7,73.5,30,7,0,0,3,0,36
9/01/2015 2:00,65.00,10,6.5,79,29.5,7,0,0,3,0,95
9/01/2015 3:00,42.00,11,11,79.5,29,3,0,0,3,3,216
9/01/2015 4:00,47.00,11,11,85,33,3,0,0,3,6,116
9/01/2015 5:00,85.00,11.5,11.5,85,33,3,0,0,3,3,42
9/01/2015 6:00,441.00,12,12,82,32.5,3,0,0,3,2,57
9/01/2015 7:00,1593.00,12,12,82,31.5,3,0,0,3,6,78
9/01/2015 8:00,3505.00,12,12,79.5,25,2,0,0,3,12,55
9/01/2015 9:00,1768.00,12,12,74.5,30,2,0,0,3,11,59
9/01/2015 10:00,799.00,12.5,12.5,69.5,29.5,1,0,0,3,8,54
9/01/2015 11:00,806.00,13,13,67,28,1,0,0,3,12,74
9/01/2015 12:00,1052.00,13,13,67,26,1,0,0,3,9,163
9/01/2015 13:00,1078.00,13,13,63,30,1,0,0,3,5,158
9/01/2015 14:00,976.00,13,13,63,26,2,0,0,3,3,109
9/01/2015 15:00,912.00,13.5,13.5,67.5,33.5,7,0,0,3,3,66
9/01/2015 16:00,1229.00,13,13,79.5,37,7,0,0,3,0,48
9/01/2015 17:00,2409.00,13.5,13.5,85,35,7,0,0,3,1,51
9/01/2015 18:00,1983.00,15,15,82,36,7,0,0,3,4,19
9/01/2015 19:00,1094.00,15.5,15.5,77,41,7,0,0,3,4,13
9/01/2015 20:00,686.00,15,15,72,44,3,0,0,3,2,5
9/01/2015 21:00,443.00,15,15,68,41,3,0,0,3,0,1
9/01/2015 22:00,464.00,15,15,68,40,3,0,0,3,0,1
9/01/2015 23:00,420.00,14,14,77,41.5,4,0,0,3,0,5
10/01/2015 0:00,392.00,14,14,77,39,4,0,1,3,8,26
10/01/2015 1:00,277.00,14,14,77,40,4,0,1,3,8,76
10/01/2015 2:00,189.00,14,14,72,40.5,3,0,1,3,20,190
10/01/2015 3:00,153.00,13,13,77,41,3,0,1,3,9,125
10/01/2015 4:00,90.00,13,13,77,36,3,0,1,3,16,47
10/01/2015 5:00,52.00,13,13,77,35,3,0,1,3,19,48
10/01/2015 6:00,69.00,13,13,82,35,7,0,1,3,9,50
10/01/2015 7:00,143.00,13,13,79.5,35,3,0,1,3,9,64
10/01/2015 8:00,321.00,14,14,74.5,40,3,0,1,3,7,43
10/01/2015 9:00,619.00,14,14,77,48,3,0,1,3,9,63
10/01/2015 10:00,757.00,14,14,74.5,41,7,0,1,3,5,82
10/01/2015 11:00,800.00,11.5,11.5,67.5,42.5,3,0,1,3,9,178
10/01/2015 12:00,1191.00,11.5,11.5,58,41.5,2,0,1,3,7,116
10/01/2015 13:00,1395.00,10.5,8.5,54,38,3,0,1,3,3,92
10/01/2015 14:00,1358.00,9,4.5,54,42.5,3,0,1,3,1,50
10/01/2015 15:00,1436.00,9,5,48,35,2,0,1,3,0,39
10/01/2015 16:00,1270.00,8,4,51.5,27,1,0,1,3,2,34
10/01/2015 17:00,1054.00,8,4,51.5,29,2,0,1,3,1,14
10/01/2015 18:00,849.00,7,3,55,26,1,0,1,3,1,24
10/01/2015 19:00,720.00,6,2,57,26,1,0,1,3,1,15
10/01/2015 20:00,556.00,6,2,57,25,1,0,1,3,3,13
10/01/2015 21:00,349.00,6,2,57,21,1,0,1,3,0,7
10/01/2015 22:00,335.00,5,1,66,20,1,0,1,3,0,1
10/01/2015 23:00,334.00,5,1,66,19.5,1,0,1,3,0,5
11/01/2015 0:00,360.00,4.5,0.5,72.5,22,1,0,1,3,0,2
11/01/2015 1:00,255.00,4,-0.5,75,22,1,0,1,3,1,8
11/01/2015 2:00,198.00,4,-0.5,75,23,1,0,1,3,0,15
11/01/2015 3:00,135.00,4,-1,75,27,2,0,1,3,0,20
11/01/2015 4:00,74.00,4,-1,72.5,28,1,0,1,3,5,56
11/01/2015 5:00,57.00,4,-1,70,27,1,0,1,3,2,60
11/01/2015 6:00,67.00,4.5,0,68,24,1,0,1,3,8,90
11/01/2015 7:00,93.00,5,1,66,24,1,0,1,3,7,95
11/01/2015 8:00,241.00,5,0,66,29.5,1,0,1,3,12,83
11/01/2015 9:00,538.00,5.5,0.5,63.5,29,1,0,1,3,5,69
11/01/2015 10:00,922.00,6.5,2,61,30,1,0,1,3,8,68
11/01/2015 11:00,1248.00,7.5,3.5,59,27,1,0,1,3,5,64
11/01/2015 12:00,1555.00,8.5,4.5,55.5,27,1,0,1,3,3,52
11/01/2015 13:00,1813.00,9,5,56,28,2,0,1,3,4,26
11/01/2015 14:00,1639.00,9,5,60,28,2,0,1,3,0,28
11/01/2015 15:00,1464.00,8.5,5,64,26,3,0,1,3,2,35
11/01/2015 16:00,1097.00,8,4.5,66,23,3,0,1,3,1,33
11/01/2015 17:00,827.00,8,5,71,20.5,7,0,1,3,0,22
11/01/2015 18:00,519.00,8,4,73.5,25,7,0,1,3,1,24
11/01/2015 19:00,493.00,8,4,73.5,24,3,0,1,3,0,12
11/01/2015 20:00,315.00,8,4.5,71,26,7,0,1,3,0,11
11/01/2015 21:00,260.00,8,4,71,30,7,0,1,3,0,4
11/01/2015 22:00,237.00,9,5,66,37,7,0,1,3,0,1
11/01/2015 23:00,168.00,9,5,71,30.5,3,0,1,3,0,1
12/01/2015 0:00,117.00,9,5,68.5,29,2,0,0,3,0,1
12/01/2015 1:00,45.00,10,6,60,34,4,0,0,3,1,5
12/01/2015 2:00,29.00,10,7,64.5,30,4,0,0,3,0,10
12/01/2015 3:00,36.00,10,6.5,67,30.5,3,0,0,3,0,19
12/01/2015 4:00,26.00,10,6.5,67,33.5,3,0,0,3,0,49
12/01/2015 5:00,86.00,10,6,67,35,3,0,0,3,2,47
12/01/2015 6:00,433.00,10,6,73.5,31,7,0,0,3,4,79
12/01/2015 7:00,1541.00,10,7,76,30,7,0,0,3,6,69
12/01/2015 8:00,3418.00,10,6,76,31,3,0,0,3,8,64
12/01/2015 9:00,1832.00,11.5,11.5,67,32.5,3,0,0,3,5,77
12/01/2015 10:00,723.00,12,12,67,33,3,0,0,3,13,79
12/01/2015 11:00,654.00,12,12,74.5,39,3,0,0,3,3,59
12/01/2015 12:00,700.00,12,12,79.5,29.5,3,0,0,3,4,44
12/01/2015 13:00,631.00,12,12,79.5,29.5,3,0,0,3,1,40
12/01/2015 14:00,520.00,12.5,12.5,77,33,7,0,0,3,0,38
12/01/2015 15:00,374.00,12,12,82,25,7,0,0,3,1,19
12/01/2015 16:00,669.00,12,12,82,22.5,7,0,0,3,5,10
12/01/2015 17:00,1510.00,11.5,11.5,88,22,7,0,0,3,0,6
12/01/2015 18:00,1186.00,11,11,94,22,7,0,0,3,2,3
12/01/2015 19:00,1136.00,11.5,11.5,85,22,7,0,0,3,1,0
12/01/2015 20:00,753.00,12,12,82,20,4,0,0,3,0,3
12/01/2015 21:00,510.00,12,12,85,18.5,7,0,0,3,0,1
12/01/2015 22:00,184.00,12,12,88,21,7,0,0,3,1,2
12/01/2015 23:00,86.00,12,12,88,23,7,0,0,3,0,3
13/01/2015 0:00,64.00,12,12,88,25,7,0,0,3,0,31
13/01/2015 1:00,29.00,12,12,88,30,7,0,0,3,2,75
13/01/2015 2:00,21.00,11.5,11.5,88,24.5,7,0,0,3,4,184
13/01/2015 3:00,13.00,11,11,85,19,7,0,0,3,2,92
13/01/2015 4:00,33.00,11,11,82,21,7,0,0,3,0,31
13/01/2015 5:00,113.00,10.5,9,79.5,21,7,0,0,3,2,28
13/01/2015 6:00,600.00,10,7.5,82,20.5,2,0,0,3,5,47
13/01/2015 7:00,1584.00,9.5,6.5,79,0,7,0,0,3,4,50
13/01/2015 8:00,3960.00,9,6.5,71,0,2,0,0,3,0,47
13/01/2015 9:00,2090.00,9,6,71,0,2,0,0,3,2,43
13/01/2015 10:00,960.00,9,6.5,71,0,1,0,0,3,4,70
13/01/2015 11:00,866.00,9,6,68.5,0,2,0,0,3,4,174
13/01/2015 12:00,1019.00,9.5,6.5,64,0,7,0,0,3,1,154
13/01/2015 13:00,719.00,9,5.5,73.5,0,7,0,0,3,3,92
13/01/2015 14:00,811.00,8.5,4.5,71,0,7,0,0,3,1,73
13/01/2015 15:00,883.00,8,4.5,73.5,0,2,0,0,3,1,37
13/01/2015 16:00,1391.00,7.5,4,68.5,0,2,0,0,3,2,22
13/01/2015 17:00,2886.00,7,3,71,0,2,0,0,3,0,18
13/01/2015 18:00,2659.00,7,4.5,71,0,7,0,0,3,2,10
13/01/2015 19:00,1548.00,6,2.5,76,0,7,0,0,3,0,3
13/01/2015 20:00,947.00,5.5,1.5,76,0,2,0,0,3,0,3
13/01/2015 21:00,660.00,5,1,76,0,2,0,0,3,0,6
13/01/2015 22:00,501.00,5,2,76,0,1,0,0,3,0,27
13/01/2015 23:00,340.00,5,1,70,0,1,0,0,3,2,97
14/01/2015 0:00,168.00,5,0.5,66,0,1,0,0,3,3,214
14/01/2015 1:00,79.00,5,0,66,0,1,0,0,3,3,127
14/01/2015 2:00,60.00,5,0.5,66,0,1,0,0,3,3,51
14/01/2015 3:00,54.00,4.5,0.5,72.5,0,1,0,0,3,4,31
